id,title,brand,season,gender,color,category,detail,hashtag,image,url,style,temperature
673,여 J214923 BEH 블랙 스트레치 로고 후디 원피스,캘빈클라인 진,2020  F/W,['여'],검정색,원피스,미디 원피스,[],https://image.msscdn.net/images/goods_img/20200819/1555511/1555511_1_500.jpg,https://store.musinsa.com/app/product/detail/1555511/0,ALL,20.0
674,MTOF2 SHIRT OPS(NAVY),라티젠,2019  S/S,['여'],네이비,원피스,맥시 원피스,['#리넨'],https://image.msscdn.net/images/goods_img/20200603/1472006/1472006_1_500.jpg,https://store.musinsa.com/app/product/detail/1472006/0,포멀,20.0
675,VOLUME DRESS_IVORY,언노말,2020  F/W,['여'],아이보리,원피스,미디 원피스,"['#가을원피스', '#롱원피스', '#면원피스', '#퍼프원피스', '#하객룩', '#화이트원피스']",https://image.msscdn.net/images/goods_img/20200819/1555938/1555938_1_500.jpg,https://store.musinsa.com/app/product/detail/1555938/0,포멀,20.0
676,여 J214931 YAF 화이트블랙 스트라이프 믹스미디어 스트라이프 스웨터 원피스,캘빈클라인 진,2020  F/W,['여'],검정색,원피스,미디 원피스,[],https://image.msscdn.net/images/goods_img/20200819/1555510/1555510_1_500.jpg,https://store.musinsa.com/app/product/detail/1555510/0,ALL,20.0
677,솔리드 스카프벨트 원피스 (2colors)_CVOWA3802M,클라비스,2020  S/S,['여'],페일 핑크,원피스,미디 원피스,['#솔리드스카프벨트원피스'],https://image.msscdn.net/images/goods_img/20200801/1534811/1534811_1_500.jpg,https://store.musinsa.com/app/product/detail/1534811/0,포멀,20.0
678,ELENA HIGH CUT COURAGE BODYSUIT - WHITE,배드블러드,2020  S/S,['여'],흰색,원피스,점프 슈트,[],https://image.msscdn.net/images/goods_img/20200811/1544918/1544918_1_500.jpg,https://store.musinsa.com/app/product/detail/1544918/0,캐주얼,17.0
679,BENNY DOT ONE-PIECE NAVY,르쥬아,2020  S/S,['여'],네이비,원피스,미디 원피스,[],https://image.msscdn.net/images/goods_img/20200811/1545299/1545299_4_500.jpg,https://store.musinsa.com/app/product/detail/1545299/0,포멀,20.0
680,[UNISEX]  보이핏 오버롤 팬츠 _ 블랙,음,2020  S/S,['남'],검정색,원피스,점프 슈트,['#오버롤'],https://image.msscdn.net/images/goods_img/20200423/1418826/1418826_1_500.jpg,https://store.musinsa.com/app/product/detail/1418826/0,캐주얼,17.0
681,ANGELA DOT ONE-PIECE SKYBLUE,르쥬아,2020  S/S,['여'],스카이 블루,원피스,맥시 원피스,[],https://image.msscdn.net/images/goods_img/20200811/1545311/1545311_1_500.jpg,https://store.musinsa.com/app/product/detail/1545311/0,포멀,20.0
682,VOLUME DRESS_BLUE,언노말,2020  F/W,['여'],스카이 블루,원피스,미디 원피스,"['#가을원피스', '#롱원피스', '#볼륨원피스', '#셔츠원피스', '#정장원피스', '#퍼프원피스', '#하객룩']",https://image.msscdn.net/images/goods_img/20200819/1556737/1556737_1_500.jpg,https://store.musinsa.com/app/product/detail/1556737/0,포멀,20.0
683,Oversize Anorack Hoodie Onepiece Yellow,카가미엘,2020  F/W,['여'],노란색,원피스,미니 원피스,"['#긴팔원피스', '#미니원피스', '#아노락원피스', '#오버사이즈원피스', '#원피스', '#후드원피스']",https://image.msscdn.net/images/goods_img/20200817/1551655/1551655_1_500.jpg,https://store.musinsa.com/app/product/detail/1551655/0,캐주얼,20.0
684,Oversize Anorack Hoodie Onepiece White,카가미엘,2020  F/W,['여'],흰색,원피스,미니 원피스,"['#긴팔원피스', '#미니원피스', '#아노락원피스', '#오버사이즈원피스', '#원피스', '#후드원피스']",https://image.msscdn.net/images/goods_img/20200817/1551654/1551654_1_500.jpg,https://store.musinsa.com/app/product/detail/1551654/0,캐주얼,20.0
685,Oversize Blue Line Onepiece,카가미엘,2020  F/W,['여'],흰색,원피스,미니 원피스,"['#긴팔원피스', '#미니원피스', '#아노락원피스', '#오버사이즈원피스', '#원피스', '#폴라원피스']",https://image.msscdn.net/images/goods_img/20200817/1551653/1551653_1_500.jpg,https://store.musinsa.com/app/product/detail/1551653/0,캐주얼,20.0
686,FW Oversize 1990 Logo Onepiece,카가미엘,2020  F/W,['여'],검정색,원피스,미니 원피스,"['#긴팔원피스', '#미니원피스', '#밴딩원피스', '#아노락원피스', '#오버사이즈원피스', '#원피스']",https://image.msscdn.net/images/goods_img/20200817/1551652/1551652_1_500.jpg,https://store.musinsa.com/app/product/detail/1551652/0,캐주얼,20.0
687,ANGELA DOT ONE-PIECE BLACK,르쥬아,2020  S/S,['여'],검정색,원피스,맥시 원피스,[],https://image.msscdn.net/images/goods_img/20200811/1545307/1545307_2_500.jpg,https://store.musinsa.com/app/product/detail/1545307/0,포멀,20.0
688,ANGELA DOT ONE-PIECE PEACH,르쥬아,2020  S/S,['여'],피치,원피스,맥시 원피스,[],https://image.msscdn.net/images/goods_img/20200811/1545309/1545309_2_500.jpg,https://store.musinsa.com/app/product/detail/1545309/0,포멀,20.0
689,[BOUTIQUE] CHANDELIER BASIC ONE-PIECE BLUE,르쥬아,2020  S/S,['여'],파란색,원피스,맥시 원피스,[],https://image.msscdn.net/images/goods_img/20200811/1545046/1545046_1_500.jpg,https://store.musinsa.com/app/product/detail/1545046/0,포멀,20.0
690,EF011E-20CE8M,라코스테,2020  S/S,['여'],라이트 핑크,원피스,미디 원피스,"['#셔츠', '#여성', '#원피스', '#플리츠', '#LCST']",https://image.msscdn.net/images/goods_img/20200812/1546413/1546413_1_500.jpg,https://store.musinsa.com/app/product/detail/1546413/0,ALL,20.0
691,CRISPY COTTON POCKET DRESS,로우 투 로우,2020  S/S,['여'],검정색,원피스,미디 원피스,"['#바캉스룩', '#여름원피스', '#오버핏원피스', '#포켓원피스', '#휴양지룩']",https://image.msscdn.net/images/goods_img/20200811/1545541/1545541_1_500.jpg,https://store.musinsa.com/app/product/detail/1545541/0,포멀,20.0
692,C CHIFFON MINI DRESS_MINT,큐리티,2020  S/S,['여'],민트,원피스,미니 원피스,[],https://image.msscdn.net/images/goods_img/20200528/1466366/1466366_1_500.jpg,https://store.musinsa.com/app/product/detail/1466366/0,캐주얼,20.0
693,GAIA  HALTER NECK  ONE-PIECE BLUE,르쥬아,2020  S/S,['여'],파란색,원피스,맥시 원피스,[],https://image.msscdn.net/images/goods_img/20200811/1544366/1544366_1_500.jpg,https://store.musinsa.com/app/product/detail/1544366/0,포멀,20.0
694,GAIA FLARE ONE-PIECE WINE,르쥬아,2020  S/S,['여'],자주,원피스,맥시 원피스,[],https://image.msscdn.net/images/goods_img/20200811/1544365/1544365_4_500.jpg,https://store.musinsa.com/app/product/detail/1544365/0,포멀,20.0
695,GAIA BALLOON ONE-PIECE BLACK,르쥬아,2020  S/S,['여'],검정색,원피스,맥시 원피스,[],https://image.msscdn.net/images/goods_img/20200811/1544363/1544363_4_500.jpg,https://store.musinsa.com/app/product/detail/1544363/0,포멀,20.0
696,EF011E-20C031,라코스테,2020  S/S,['여'],검정색,원피스,미디 원피스,"['#여성', '#셔츠', '#원피스', '#플리츠', '#LCST']",https://image.msscdn.net/images/goods_img/20200812/1546411/1546411_1_500.jpg,https://store.musinsa.com/app/product/detail/1546411/0,ALL,20.0
697,ALICE ONE-PIECE YELLOW,르쥬아,2020  S/S,['여'],노란색,원피스,맥시 원피스,[],https://image.msscdn.net/images/goods_img/20200811/1544877/1544877_2_500.jpg,https://store.musinsa.com/app/product/detail/1544877/0,포멀,20.0
698,ALICE ONE-PIECE SKYBLUE,르쥬아,2020  S/S,['여'],스카이 블루,원피스,맥시 원피스,[],https://image.msscdn.net/images/goods_img/20200811/1544880/1544880_1_500.jpg,https://store.musinsa.com/app/product/detail/1544880/0,포멀,20.0
