id,title,brand,season,gender,color,category,detail,hashtag,image,url,temperature,style
46,ALPHABOUNCE SLIDE CBLACK/CBLACK/EQTYEL,아디다스,2020  S/S,"['남,여']",검정색 노란색,신발,슬리퍼,"['#로고슬라이드', '#벨크로슬라이드', '#벨크로슬리퍼', '#블랙', '#슬라이드', '#알파바운스', '#알파슬라이드']",https://image.msscdn.net/images/goods_img/20200306/1339555/1339555_1_500.jpg,https://store.musinsa.com/app/product/detail/1339555/0,23,캐주얼
47,COMFORT FLIP FLOP CBLACK/FTWWHT/CBLACK,아디다스,2020  S/S,"['남,여']",검정색,신발,슬리퍼,"['#블랙', '#비치샌들', '#수영장샌들', '#쪼리', '#쿠셔닝샌들', '#플랍', '#플립']",https://image.msscdn.net/images/goods_img/20200422/1415270/1415270_2_500.jpg,https://store.musinsa.com/app/product/detail/1415270/0,23,캐주얼
48,[사이즈 재입고] 올리버 (OLIVER (ALL BLACK)) [F-7015],돔바,ALL,"['남,여']",검정색,신발,샌들,[],https://image.msscdn.net/images/goods_img/20160526/359506/359506_2_500.jpg,https://store.musinsa.com/app/product/detail/359506/0,23,캐주얼
49,331 BRUSSELS DOUBLE STRAP SANDAL AQUA BLACK,비에스큐티바이클래시,ALL,['남'],검정색,신발,샌들,"['#가죽', '#가죽샌들', '#가죽스트랩', '#래더', '#래더샌들', '#래더스트랩', '#레더']",https://image.msscdn.net/images/goods_img/20180426/767850/767850_3_500.jpg,https://store.musinsa.com/app/product/detail/767850/0,23,ALL
50,WTRD4107  Archeri Flip-flop Matte black [230~290MM],위더로드,2020  S/S,['남'],검정색,신발,슬리퍼,"['#가죽', '#가죽샌들', '#가죽스트랩', '#남자슬라이드', '#래더', '#래더샌들', '#래더스트랩']",https://image.msscdn.net/images/goods_img/20190625/1082314/1082314_27_500.jpg,https://store.musinsa.com/app/product/detail/1082314/0,23,포멀
51,375 WELL DONE DERBY SHOES LUCY BLACK,비에스큐티바이클래시,ALL,"['남,여']",검정색,신발,구두,"['#더비구두', '#블랙', '#유광', '#해군군화']",https://image.msscdn.net/images/goods_img/20170823/607298/607298_1_500.jpg,https://store.musinsa.com/app/product/detail/607298/0,20,ALL
52,Royalcat  Comfort - Puma Black-CASTLEROCK-Puma White,푸마,2020  S/S,"['남,여']",검정색,신발,슬리퍼,"['#로고슬라이드', '#로얄캣', '#블랙', '#슬라이드', '#슬리퍼', '#신발']",https://image.msscdn.net/images/goods_img/20200116/1273516/1273516_3_500.jpg,https://store.musinsa.com/app/product/detail/1273516/0,23,캐주얼
53,ADILETTE COMFORT CBLACK/CBLACK/FTWWHT,아디다스,2020  S/S,"['남,여']",검정색,신발,슬리퍼,"['#블랙', '#슬리퍼', '#아딜렛']",https://image.msscdn.net/images/goods_img/20190215/954594/954594_3_500.jpg,https://store.musinsa.com/app/product/detail/954594/0,23,캐주얼
54,COMFORT SANDAL CBLACK/CBLACK/FTWWHT,아디다스,2020  S/S,"['남,여']",검정색,신발,샌들,"['#벨크로샌달', '#벨크로샌들', '#블랙', '#스트랩샌달', '#스트랩샌들']",https://image.msscdn.net/images/goods_img/20200511/1439911/1439911_3_500.jpg,https://store.musinsa.com/app/product/detail/1439911/0,23,캐주얼
55,그리폰 블랙 샌들 15695001,닥터마틴,ALL,"['남,여']",검정색,신발,샌들,"['#가죽샌들', '#닥마샌들', '#닥터마틴샌들', '#버클', '#버클샌들', '#블랙', '#스트랩']",https://image.msscdn.net/images/goods_img/20170504/549841/549841_5_500.jpg,https://store.musinsa.com/app/product/detail/549841/0,23,ALL
56,ADILETTE COMFORT CBLACK/FTWWHT/CBLACK,아디다스,2020  S/S,"['남,여']",검정색,신발,슬리퍼,"['#로고슬라이드', '#블랙', '#슬라이드', '#아디다스슬라이드', '#아딜렛', '#아딜렛슬라이드', '#아딜렛컴포트']",https://image.msscdn.net/images/goods_img/20200312/1347569/1347569_1_500.jpg,https://store.musinsa.com/app/product/detail/1347569/0,23,캐주얼
57,ADILETTE LITE CONAVY/FTWWHT/CONAVY,아디다스,2020  S/S,"['남,여']",네이비,신발,슬리퍼,"['#로고슬라이드', '#로고슬리퍼', '#사무실화', '#슬라이더', '#슬라이드', '#슬리퍼', '#실내화']",https://image.msscdn.net/images/goods_img/20191224/1256633/1256633_3_500.jpg,https://store.musinsa.com/app/product/detail/1256633/0,23,캐주얼
58,4.5cm 소가죽 코만도 첼시부츠 ROUTINE(CR0011),커스텀에이드,2020  ALL,"['남,여']",검정색,신발,부츠,"['#가죽', '#남자구두', '#남자부츠', '#첼시부츠', '#CR0011']",https://image.msscdn.net/images/goods_img/20190826/1128656/1128656_1_500.jpg,https://store.musinsa.com/app/product/detail/1128656/0,17,ALL
59,EEZAY FLIP FLOP CBLACK/FTWWHT/CBLACK,아디다스,2020  S/S,"['남,여']",검정색,신발,슬리퍼,"['#블랙', '#비치샌들', '#슬라이드', '#조리샌들', '#쪼리', '#플립플랍']",https://image.msscdn.net/images/goods_img/20200511/1439916/1439916_2_500.jpg,https://store.musinsa.com/app/product/detail/1439916/0,23,캐주얼
60,0891 CAUSEWAY PENNY LOAFER VANTABLACK,마이애미프로젝트,2019  ALL,['남'],검정색,신발,로퍼,"['#가죽', '#구두', '#남자더비', '#블랙', '#소가죽', '#수제화', '#페니']",https://image.msscdn.net/images/goods_img/20190419/1021359/1021359_1_500.jpg,https://store.musinsa.com/app/product/detail/1021359/0,20,ALL
61,SHOOPEN x  LOST GARDEN_DERBY II,슈펜,2019  ALL,['남'],검정색,신발,구두,"['#더비', '#더비슈즈', '#슬랙스', '#정장화']",https://image.msscdn.net/images/goods_img/20190212/950889/950889_5_500.jpg,https://store.musinsa.com/app/product/detail/950889/0,20,ALL
62,취리히 SFB 타우페 1009532,버켄스탁,ALL,"['남,여']",베이지색,신발,슬리퍼,"['#버켄스탁샌들', '#스트랩샌들', '#스트랩슬리퍼', '#슬라이드', '#취리히']",https://image.msscdn.net/images/goods_img/20170317/501198/501198_4_500.jpg,https://store.musinsa.com/app/product/detail/501198/0,23,캐주얼
63,ITALY VIBARM SERIES DERBY SHOES,슈펜,2019  ALL,['남'],검정색,신발,구두,"['#남성구두', '#더비', '#더비슈즈', '#비브람', '#비브람솔', '#정장화']",https://image.msscdn.net/images/goods_img/20190926/1167367/1167367_2_500.jpg,https://store.musinsa.com/app/product/detail/1167367/0,20,ALL
64,New Tampere Chelsea Boot R17M077 (Black),로맨틱무브,ALL,"['남,여']",검정색,신발,부츠,"['#가죽', '#구두', '#남성부츠', '#뉴탐페레첼시', '#블랙', '#첼시부츠']",https://image.msscdn.net/images/goods_img/20171207/685185/685185_1_500.jpg,https://store.musinsa.com/app/product/detail/685185/0,17,포멀
65,[1.5cm 추가입고] 키높이인솔 3 SET (1cm / 1.5cm / 2cm중 선택가능),피렌체 아뜨리에,,['남'],베이지색,신발,신발 용품,"['#키높이', '#키높이2CM', '#키높이깔창', '#키높이인솔']",https://image.msscdn.net/images/goods_img/20180725/819685/819685_5_500.jpg,https://store.musinsa.com/app/product/detail/819685/0,20,포멀
66,ALPHABOUNCE SLIDE CBLACK/CBLACK/CBLACK,아디다스,ALL,"['남,여']",검정색,신발,슬리퍼,"['#로고슬라이드', '#블랙', '#슬라이드', '#슬리퍼', '#알파바운스']",https://image.msscdn.net/images/goods_img/20190228/968929/968929_3_500.jpg,https://store.musinsa.com/app/product/detail/968929/0,23,캐주얼
67,ADILETTE COMFORT CBLACK/FTWWHT/CBLACK,아디다스,ALL,"['남,여']",검정색,신발,슬리퍼,"['#로고슬라이드', '#로고슬리퍼', '#블랙', '#슬라이드', '#슬리퍼', '#아딜렛']",https://image.msscdn.net/images/goods_img/20190326/995457/995457_2_500.jpg,https://store.musinsa.com/app/product/detail/995457/0,23,캐주얼
68,3.5cm 통소가죽 크로스 슬리퍼 바넷(CR0023),커스텀에이드,2020  ALL,['남'],검정색,신발,슬리퍼,"['#가죽슬리퍼', '#남자슬리퍼', '#래더', '#래더슬리퍼', '#레더', '#레더슬리퍼', '#샌들']",https://image.msscdn.net/images/goods_img/20200422/1415413/1415413_1_500.jpg,https://store.musinsa.com/app/product/detail/1415413/0,23,ALL
69,1003987-BLK /  / 우먼스 오리지널 유니버셜 / W ORIGINAL UNIVERSAL / BLACK / 1003987-BLK 1003987-BLK,테바,ALL,['여'],검정색,신발,샌들,"['#스트랩', '#오리지널유니버셜', '#오리지널유니버셜도라도']",https://image.msscdn.net/images/goods_img/20150310/170062/170062_3_500.jpg,https://store.musinsa.com/app/product/detail/170062/0,23,캐주얼
