id,title,brand,season,gender,color,category,detail,hashtag,image,url,temperature,style
798,BANDING DENIM SKIRT [BLUE],비트윈에이앤비,2019  F/W,['여'],데님,스커트,미디스커트,"['#긴치마', '#데님', '#데님스커트', '#미디스커트', '#밴딩', '#스커트', '#청치마']",https://image.msscdn.net/images/goods_img/20191001/1173814/1173814_1_500.jpg,https://store.musinsa.com/app/product/detail/1173814/0,20.0,캐주얼
799,TENNIS CHAIN SKIRT_BK,크랭크,2020  S/S,['여'],검정색,스커트,미니스커트,"['#바지스커트', '#주름스커트', '#체인스커트', '#테니스스커트', '#테니스치마', '#플리츠스커트']",https://image.msscdn.net/images/goods_img/20200504/1430600/1430600_1_500.jpg,https://store.musinsa.com/app/product/detail/1430600/0,23.0,캐주얼
800,Heart Coloration Knit Skirt_Black,하트클럽,2019  F/W,['여'],검정색,스커트,미니스커트,['#니트스커트'],https://image.msscdn.net/images/goods_img/20191210/1248016/1248016_4_500.jpg,https://store.musinsa.com/app/product/detail/1248016/0,23.0,캐주얼
801,여성 하이웨이스트 스커트 1종 블랙,카파 언더웨어,2019  F/W,['여'],검정색,스커트,미니스커트,[],https://image.msscdn.net/images/goods_img/20200723/1525162/1525162_1_500.jpg,https://store.musinsa.com/app/product/detail/1525162/0,23.0,캐주얼
802,Flare Gather Skirt_Sand,오픈엔드,2020  S/S,['여'],샌드,스커트,롱스커트,"['#롱스커트', '#린넨스커트', '#맥시스커트', '#스커트', '#오픈엔드스커트']",https://image.msscdn.net/images/goods_img/20200724/1526339/1526339_1_500.jpg,https://store.musinsa.com/app/product/detail/1526339/0,20.0,포멀
803,(W) URIJU SKIRT - NAVY,메리제임스,2020  S/S,['여'],네이비,스커트,미니스커트,"['#니트', '#밴딩스커트', '#셋업', '#스커트', '#치마']",https://image.msscdn.net/images/goods_img/20200514/1447416/1447416_1_500.jpg,https://store.musinsa.com/app/product/detail/1447416/0,23.0,캐주얼
804,[NF]FANCY LONG DENIM SKIRT (BLUE)(20SS-F708),네스티팬시클럽,2020  S/S,['여'],연청,스커트,롱스커트,[],https://image.msscdn.net/images/goods_img/20200408/1389675/1389675_1_500.jpg,https://store.musinsa.com/app/product/detail/1389675/0,20.0,캐주얼
805,(W) Birds And Skirt - Red,메리제임스,2019  S/S,['여'],빨간색,스커트,미니스커트,"['#스커트', '#체크스커트', '#치마']",https://image.msscdn.net/images/goods_img/20190618/1075603/1075603_1_500.jpg,https://store.musinsa.com/app/product/detail/1075603/0,23.0,캐주얼
806,202-DENIM PUNCHING SKIRT,로즈애플 스튜디오,2020  S/S,['여'],중청,스커트,롱스커트,"['#데님', '#롱스커트', '#맥시스커트', '#머메이드', '#보헤미안']",https://image.msscdn.net/images/goods_img/20200429/1427920/1427920_1_500.jpg,https://store.musinsa.com/app/product/detail/1427920/0,20.0,캐주얼
807,Merino Nano Natural Skirt - Black,320쇼룸,2019  S/S,['여'],검정색,스커트,미디스커트,"['#골지스커트', '#골지치마', '#골지투피스', '#밴딩스커트', '#밴딩치마', '#블랙']",https://image.msscdn.net/images/goods_img/20190121/937318/937318_1_500.jpg,https://store.musinsa.com/app/product/detail/937318/0,20.0,포멀
